"111l -- Tutkinnon suorittaneiden pääasiallinen toiminta yhden ja kolmen vuoden kuluttua valmistumisesta, 2007-2023"

"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2023";"32 Ammatillinen peruskoulutus";"Miehet";"Pohjois-Pohjanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";148;51;34;40;27;11;7;40;27;40;27;17;11;164;66;40;45;27;21;13;50;30;40;24;8;5
"2023";"32 Ammatillinen peruskoulutus";"Miehet";"Kainuu";"Tietojenkäsittely ja tietoliikenne (ICT)";23;11;48;10;43;1;4;4;17;5;22;3;13;29;7;24;6;21;1;3;16;55;5;17;1;3
"2023";"32 Ammatillinen peruskoulutus";"Miehet";"Lappi";"Tietojenkäsittely ja tietoliikenne (ICT)";49;19;39;18;37;1;2;11;22;14;29;5;10;63;35;56;20;32;15;24;18;29;7;11;3;5
"2023";"32 Ammatillinen peruskoulutus";"Miehet";"Ahvenanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";14;7;50;4;29;3;21;3;21;1;7;3;21;6;.;.;.;.;.;.;.;.;.;.;.;.
"2023";"32 Ammatillinen peruskoulutus";"Miehet";"Tuntematon";"Tietojenkäsittely ja tietoliikenne (ICT)";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"2023";"32 Ammatillinen peruskoulutus";"Naiset";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";210;130;62;105;50;25;12;30;14;37;18;13;6;168;96;57;63;38;33;20;38;23;26;15;8;5
"2023";"32 Ammatillinen peruskoulutus";"Naiset";"Uusimaa";"Tietojenkäsittely ja tietoliikenne (ICT)";90;64;71;55;61;9;10;8;9;17;19;1;1;62;40;65;30;48;10;16;11;18;8;13;3;5
"2023";"32 Ammatillinen peruskoulutus";"Naiset";"Varsinais-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";10;8;80;5;50;3;30;1;10;.;.;1;10;8;.;.;.;.;.;.;.;.;.;.;.;.
"2023";"32 Ammatillinen peruskoulutus";"Naiset";"Satakunta";"Tietojenkäsittely ja tietoliikenne (ICT)";4;.;.;.;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.
"2023";"32 Ammatillinen peruskoulutus";"Naiset";"Kanta-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";11;.;.;5;45;.;.;1;9;3;27;2;18;9;.;.;.;.;.;.;.;.;.;.;.;.
