"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Lappi";"Tietojenkäsittely ja tietoliikenne (ICT)";39;12;31;8;21;4;10;8;21;12;31;7;18;52;23;44;11;21;12;23;11;21;14;27;4;8
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Ahvenanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";12;.;.;.;.;4;33;6;50;1;8;1;8;2;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Tuntematon";"Tietojenkäsittely ja tietoliikenne (ICT)";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";1821;637;35;538;30;99;5;311;17;616;34;257;14;2024;1000;49;758;37;242;12;457;23;411;20;156;8
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Uusimaa";"Tietojenkäsittely ja tietoliikenne (ICT)";552;239;43;197;36;42;8;69;13;161;29;83;15;646;362;56;277;43;85;13;121;19;117;18;46;7
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Varsinais-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";162;51;31;44;27;7;4;32;20;53;33;26;16;188;99;53;77;41;22;12;34;18;35;19;20;11
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Satakunta";"Tietojenkäsittely ja tietoliikenne (ICT)";45;14;31;11;24;3;7;4;9;17;38;10;22;54;25;46;20;37;5;9;16;30;11;20;2;4
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Kanta-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";84;27;32;23;27;4;5;15;18;29;35;13;15;58;22;38;20;34;2;3;13;22;14;24;9;16
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Pirkanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";138;51;37;41;30;10;7;19;14;46;33;22;16;149;82;55;67;45;15;10;32;21;23;15;12;8
"2020";"32 Ammatillinen peruskoulutus";"Miehet";"Päijät-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";67;15;22;13;19;2;3;12;18;29;43;11;16;90;41;46;35;39;6;7;16;18;26;29;7;8
